playerId,name,team,position,jersey,nationality,height_in,weight_lbs,birth_date
8470595,Eric Staal,,C,12,CAN,76,195,1984-10-29
8470600,Ryan Suter,,D,22,USA,73,201,1985-01-21
8470604,Jeff Carter,,C,77,CAN,75,219,1985-01-01
8470610,Zach Parise,,L,9,USA,71,195,1984-07-28
8470613,Brent Burns,COL,D,84,CAN,77,228,1985-03-09
8470621,Corey Perry,TBL,R,10,CAN,75,210,1985-05-16
8470638,Patrice Bergeron,,C,37,CAN,73,196,1985-07-24
8470794,Joe Pavelski,,C,16,USA,73,196,1984-07-11
8470966,Mark Giordano,,D,55,CAN,72,202,1983-10-03
8471214,Alex Ovechkin,WSH,L,8,RUS,75,238,1985-09-17
8471215,Evgeni Malkin,PIT,C,71,RUS,77,213,1986-07-31
8471218,Blake Wheeler,,R,17,USA,77,222,1986-08-31
8471274,Alex Goligoski,,D,33,USA,71,173,1985-07-30
8471276,David Krejci,,C,46,CZE,72,192,1986-04-28
8471303,Alexander Edler,,D,2,SWE,76,210,1986-04-21
8471669,Paul Stastny,,C,26,CAN,72,193,1985-12-27
8471675,Sidney Crosby,PIT,C,87,CAN,71,200,1987-08-07
8471677,Jack Johnson,,D,3,USA,74,225,1987-01-13
8471685,Anze Kopitar,LAK,C,11,SVN,75,225,1987-08-24
8471686,Marc Staal,,D,18,CAN,76,208,1987-01-13
8471698,T.J. Oshie,,R,77,USA,72,187,1986-12-23
8471699,Andrew Cogliano,,C,11,CAN,70,179,1987-06-14
8471709,Marc-Edouard Vlasic,,D,44,CAN,73,205,1987-03-30
8471724,Kris Letang,PIT,D,58,CAN,72,199,1987-04-24
8471794,Darren Helm,,C,43,CAN,72,192,1987-01-21
8471817,Ryan Reaves,SJS,R,75,CAN,74,225,1987-01-20
8471873,Anton Stralman,,D,86,SWE,71,193,1986-08-01
8471887,Patric Hornqvist,,R,70,SWE,71,189,1987-01-01
8473419,Brad Marchand,FLA,L,63,CAN,69,180,1988-05-11
8473422,Nick Foligno,MIN,L,71,USA,72,210,1987-10-31
8473446,Erik Johnson,,D,6,USA,76,225,1988-03-21
8473449,Kyle Okposo,,R,8,USA,72,216,1988-04-16
8473453,Trevor Lewis,,C,61,USA,73,205,1987-01-08
8473473,Milan Lucic,,L,17,CAN,75,236,1988-06-07
8473504,Cal Clutterbuck,,R,15,CAN,71,215,1987-11-18
8473507,Jeff Petry,MIN,D,2,USA,75,208,1987-12-09
8473512,Claude Giroux,OTT,R,28,CAN,71,186,1988-01-12
8473533,Jordan Staal,CAR,C,11,CAN,76,220,1988-09-10
8473544,Derick Brassard,,C,61,CAN,73,200,1987-09-22
8473548,Phil Kessel,,R,8,USA,71,208,1987-10-02
8473563,Nicklas Backstrom,,C,19,SWE,73,202,1987-11-23
8473604,Jonathan Toews,WPG,C,19,CAN,74,201,1988-04-29
8473986,Alex Killorn,ANA,L,17,CAN,73,205,1989-09-14
8473994,Jamie Benn,DAL,L,14,CAN,75,210,1989-07-18
8474009,Nick Bonino,,C,12,USA,73,198,1988-04-20
8474013,Ian Cole,UTA,D,28,USA,73,237,1989-02-21
8474027,Justin Braun,,D,61,USA,74,205,1987-02-10
8474031,Kevin Shattenkirk,,D,12,USA,72,203,1989-01-29
8474034,Patrick Maroon,,L,77,USA,75,234,1988-04-23
8474037,James van Riemsdyk,DET,L,21,USA,75,210,1989-05-04
8474040,Sam Gagner,,C,15,CAN,71,200,1989-08-10
8474053,Logan Couture,SJS,C,39,CAN,73,206,1989-03-28
8474089,Brad Malone,,C,24,CAN,74,212,1989-05-20
8474090,Brendan Smith,CBJ,D,7,CAN,74,200,1989-02-08
8474102,David Perron,DET,L,57,CAN,72,202,1988-05-28
8474141,Patrick Kane,DET,R,88,USA,70,176,1988-11-19
8474145,Robert Bortuzzo,,D,41,CAN,76,206,1989-03-18
8474149,Evgenii Dadonov,NJD,L,33,RUS,71,188,1989-03-12
8474150,Mikael Backlund,CGY,C,11,SWE,72,206,1989-03-17
8474151,Ryan McDonagh,TBL,D,27,USA,73,216,1989-06-13
8474157,Max Pacioretty,,L,67,USA,74,217,1988-11-20
8474161,Jakub Voracek,,R,,CZE,74,216,1989-08-15
8474162,Jake Muzzin,,D,8,CAN,75,227,1989-02-21
8474166,Alec Martinez,,D,25,USA,73,210,1987-07-26
8474189,Lars Eller,OTT,C,89,DNK,74,207,1989-05-08
8474190,Wayne Simmonds,,R,24,CAN,74,184,1988-08-26
8474207,Nick Holden,,D,5,CAN,76,210,1987-05-15
8474563,Drew Doughty,LAK,D,8,CAN,73,210,1989-12-08
8474564,Steven Stamkos,NSH,C,91,CAN,73,193,1990-02-07
8474565,Alex Pietrangelo,VGK,D,7,CAN,75,215,1990-01-18
8474567,Zach Bogosian,MIN,D,24,USA,75,231,1990-07-15
8474568,Luke Schenn,BUF,D,5,CAN,74,225,1989-11-02
8474573,Josh Bailey,,R,12,CAN,73,200,1989-10-02
8474574,Tyler Myers,DAL,D,57,USA,80,229,1990-02-01
8474578,Erik Karlsson,PIT,D,65,SWE,72,185,1990-05-31
8474586,Jordan Eberle,SEA,R,7,CAN,71,180,1990-05-15
8474590,John Carlson,ANA,D,74,USA,75,220,1990-01-10
8474600,Roman Josi,NSH,D,59,CHE,73,201,1990-06-01
8474602,Justin Schultz,,D,4,CAN,74,190,1990-07-06
8474610,Zac Dalpe,,C,22,CAN,73,194,1989-11-01
8474612,Travis Hamonic,DET,D,52,CAN,73,193,1990-08-16
8474613,Derek Stepan,,C,21,USA,71,196,1990-06-18
8474618,Marco Scandella,,D,6,CAN,75,212,1990-02-23
8474628,Michael Stone,,D,26,CAN,75,210,1990-06-07
8474641,Adam Henrique,EDM,C,19,CAN,72,195,1990-02-06
8474673,TJ Brodie,,D,78,CAN,74,187,1990-06-07
8474679,Gustav Nyquist,WPG,R,14,SWE,71,180,1989-09-01
8474683,Derek Grant,,C,38,CAN,75,210,1990-04-20
8474697,Mark Borowiecki,,D,90,CAN,74,204,1989-07-12
8474709,Matt Martin,,L,17,CAN,75,215,1989-05-08
8474716,Jared Spurgeon,MIN,D,46,CAN,69,166,1989-11-29
8474818,Jordie Benn,,D,18,CAN,74,201,1987-07-26
8474870,Tyler Johnson,,C,90,USA,68,191,1990-07-29
8474884,Mike Hoffman,,C,68,CAN,72,190,1989-11-24
8475149,Marcus Johansson,MIN,L,90,SWE,73,203,1990-10-06
8475151,Kyle Palmieri,NYI,C,21,USA,72,192,1991-02-01
8475158,Ryan O'Reilly,NSH,C,90,CAN,73,207,1991-02-07
8475163,Alex Chiasson,,R,48,CAN,76,208,1990-10-01
8475164,Jakob Silfverberg,,R,33,SWE,73,207,1990-10-13
8475166,John Tavares,TOR,C,91,CAN,73,217,1990-09-20
8475167,Victor Hedman,TBL,D,77,SWE,79,244,1990-12-18
8475168,Matt Duchene,DAL,C,95,CAN,71,211,1991-01-16
8475169,Evander Kane,VAN,L,91,CAN,74,218,1991-08-02
8475170,Brayden Schenn,NYI,C,10,CAN,73,200,1991-08-22
8475171,Oliver Ekman-Larsson,TOR,D,95,SWE,74,190,1991-07-17
8475172,Nazem Kadri,COL,C,91,CAN,72,185,1990-10-06
8475177,Calvin de Haan,,D,44,CAN,73,192,1991-05-09
8475178,Zack Kassian,,R,44,CAN,75,211,1991-01-24
8475179,Dmitry Kulikov,FLA,D,7,RUS,73,212,1990-10-29
8475181,Nick Leddy,SJS,D,4,USA,72,205,1991-03-20
8475184,Chris Kreider,ANA,L,20,USA,75,232,1991-04-30
8475188,Brayden McNabb,VGK,D,3,CAN,76,215,1991-01-21
8475191,Reilly Smith,VGK,R,19,CAN,73,185,1991-04-01
8475193,Tomas Tatar,,L,90,SVK,70,173,1990-12-01
8475197,Tyson Barrie,,D,8,CAN,71,197,1991-07-26
8475200,Dmitry Orlov,SJS,D,9,RUS,71,215,1991-07-23
8475208,Brian Dumoulin,LAK,D,2,USA,76,215,1991-09-06
8475218,Mattias Ekholm,EDM,D,14,SWE,77,225,1990-05-24
8475220,Marcus Foligno,MIN,L,17,USA,75,226,1991-08-10
8475225,Craig Smith,,C,15,USA,73,203,1989-09-05
8475227,Chris Wideman,,D,6,USA,70,180,1990-01-07
8475231,Casey Cizikas,NYI,C,53,CAN,71,191,1991-02-27
8475233,David Savard,,D,58,CAN,73,235,1990-10-22
8475235,Nicolas Deslauriers,CAR,L,44,CAN,73,218,1991-02-22
8475278,Byron Froese,,C,51,CAN,72,195,1991-03-12
8475279,Ben Chiarot,DET,D,8,CAN,75,222,1991-05-09
8475287,Erik Haula,NSH,L,56,FIN,71,191,1991-03-23
8475314,Anders Lee,NYI,L,27,USA,75,234,1990-07-03
8475324,Nick Jensen,OTT,D,3,USA,72,202,1990-09-21
8475343,Nic Dowd,VGK,C,26,USA,74,195,1990-05-27
8475455,Brenden Dillon,NJD,D,5,CAN,76,225,1990-11-13
8475461,Andrew Agozzino,UTA,L,36,CAN,70,187,1991-01-03
8475462,Radko Gudas,ANA,D,7,CZE,72,208,1990-06-05
8475625,Matt Irwin,,D,52,CAN,74,200,1987-11-29
8475690,Chris Tanev,TOR,D,8,CAN,75,200,1989-12-20
8475692,Mats Zuccarello,MIN,R,36,NOR,68,181,1987-09-01
8475714,Calle Jarnkrok,TOR,C,19,SWE,72,193,1991-09-25
8475718,Justin Holl,STL,D,4,USA,76,194,1992-01-30
8475722,Jason Zucker,BUF,L,17,USA,71,198,1992-01-16
8475726,Tyler Toffoli,SJS,C,73,CAN,72,205,1992-04-24
8475744,Evgeny Kuznetsov,,C,92,RUS,74,207,1992-05-19
8475745,Charlie Coyle,CBJ,C,3,USA,75,221,1992-03-02
8475747,Patrik Nemeth,,D,2,SWE,76,230,1992-02-08
8475750,Jon Merrill,,D,4,USA,75,204,1992-02-03
8475752,Tyler Pitlick,MIN,C,19,USA,74,199,1991-11-01
8475753,Justin Faulk,DET,D,72,USA,72,208,1992-03-20
8475754,Brock Nelson,COL,C,11,USA,76,205,1991-10-15
8475760,Nick Bjugstad,NJD,C,72,USA,78,210,1992-07-17
8475762,Derek Forbort,VAN,D,27,USA,76,216,1992-03-04
8475763,Kevin Hayes,PIT,R,13,USA,75,217,1992-05-08
8475764,Cam Fowler,STL,D,17,CAN,74,213,1991-12-05
8475765,Vladimir Tarasenko,MIN,R,91,RUS,73,219,1991-12-13
8475766,Austin Watson,DET,L,24,USA,76,203,1992-01-13
8475768,Jaden Schwartz,SEA,L,17,CAN,70,185,1992-06-25
8475784,Jeff Skinner,,L,53,CAN,71,200,1992-05-16
8475786,Zach Hyman,EDM,L,18,CAN,73,206,1992-06-09
8475790,Erik Gudbranson,CBJ,D,44,CAN,77,222,1992-01-07
8475791,Taylor Hall,CAR,L,71,CAN,73,210,1991-11-14
8475793,Ryan Johansen,,C,12,CAN,75,218,1992-07-31
8475794,Tyler Seguin,DAL,C,91,CAN,74,205,1992-01-31
8475795,Dylan McIlrath,WSH,D,52,CAN,77,240,1992-04-20
8475797,Jarred Tinordi,,D,26,USA,78,229,1992-02-20
8475798,Mikael Granlund,ANA,C,64,FIN,70,193,1992-02-26
8475799,Nino Niederreiter,WPG,R,62,CHE,74,218,1992-09-08
8475810,Bryan Rust,PIT,R,17,USA,71,202,1992-05-11
8475825,Jani Hakanpää,,D,28,FIN,79,225,1992-03-31
8475842,Sam Carrick,BUF,C,10,CAN,72,202,1992-02-04
8475848,Brendan Gallagher,MTL,R,11,CAN,69,185,1992-05-06
8475855,Jesper Fast,,R,71,SWE,73,191,1991-12-02
8475857,Kevin Gravel,NSH,D,5,USA,76,205,1992-03-06
8475906,John Klingberg,SJS,D,3,SWE,74,185,1992-08-14
8475913,Mark Stone,VGK,R,61,CAN,75,210,1992-05-13
8475968,Alex Belzile,MTL,R,60,CAN,72,198,1991-08-31
8476166,Taylor Fedun,,D,4,CAN,73,200,1988-06-04
8476278,Colin Blackwell,DAL,C,15,USA,68,181,1993-03-28
8476292,Ondrej Palat,NYI,L,81,CZE,72,194,1991-03-28
8476310,Lukas Sedlak,,C,23,CZE,72,205,1993-02-25
8476312,Josh Manson,COL,D,42,USA,75,218,1991-10-07
8476326,Josh Archibald,,R,15,CAN,70,176,1992-10-06
8476329,Travis Boyd,TOR,C,72,USA,72,190,1993-09-14
8476331,Dylan DeMelo,WPG,D,2,CAN,73,194,1993-05-01
8476346,Johnny Gaudreau,,L,13,USA,69,163,1993-08-13
8476372,Nick Seeler,PHI,D,24,USA,75,197,1993-06-03
8476374,Sean Kuraly,BOS,C,52,USA,74,208,1993-01-20
8476389,Vincent Trocheck,NYR,C,16,USA,71,187,1993-07-11
8476390,Joseph Cramarossa,,C,56,CAN,73,190,1992-10-26
8476392,Adam Lowry,WPG,C,17,USA,77,210,1993-03-29
8476393,Nick Cousins,OTT,C,21,CAN,71,191,1993-07-20
8476399,Blake Coleman,CGY,L,20,USA,71,199,1991-11-28
8476410,Josh Leivo,,L,17,CAN,74,192,1993-05-26
8476419,Jean-Gabriel Pageau,NYI,C,44,CAN,71,180,1992-11-11
8476422,Mike Reilly,CAR,D,6,USA,74,191,1993-07-13
8476429,Scott Mayfield,NYI,D,24,USA,76,215,1992-10-14
8476432,Boone Jenner,CBJ,C,38,CAN,74,204,1993-06-15
8476438,Brandon Saad,VGK,L,20,USA,73,207,1992-10-27
8476439,Brett Ritchie,,R,24,CAN,76,215,1993-07-01
8476441,Joel Edmundson,LAK,D,6,CAN,77,220,1993-06-28
8476442,Matt Nieto,,L,83,USA,71,189,1992-11-05
8476448,William Karlsson,VGK,C,71,SWE,72,190,1993-01-08
8476449,Scott Harrington,,D,17,CAN,74,204,1993-03-10
8476453,Nikita Kucherov,TBL,R,86,RUS,72,173,1993-06-17
8476454,Ryan Nugent-Hopkins,EDM,C,93,CAN,73,192,1993-04-12
8476456,Jonathan Huberdeau,CGY,L,10,CAN,73,200,1993-06-04
8476457,Adam Larsson,SEA,D,6,SWE,75,207,1992-11-12
8476458,Ryan Strome,CGY,C,22,CAN,73,192,1993-07-11
8476459,Mika Zibanejad,NYR,C,93,SWE,74,208,1993-04-18
8476460,Mark Scheifele,WPG,C,55,CAN,75,207,1993-03-15
8476462,Dougie Hamilton,NJD,D,7,CAN,78,230,1993-06-17
8476463,Jonas Brodin,MIN,D,25,SWE,74,196,1993-07-12
8476467,Jamie Oleksiak,SEA,D,24,CAN,79,252,1992-12-21
8476468,J.T. Miller,NYR,C,8,USA,72,211,1993-03-14
8476469,Joel Armia,LAK,R,40,FIN,75,215,1993-05-31
8476470,Nathan Beaulieu,,D,28,CAN,74,200,1992-12-05
8476473,Connor Murphy,EDM,D,5,USA,76,212,1993-03-26
8476474,Stefan Noesen,NJD,R,11,USA,73,205,1993-02-12
8476479,Phillip Danault,MTL,C,24,CAN,73,200,1993-02-24
8476480,Vladislav Namestnikov,WPG,C,7,RUS,72,181,1992-11-22
8476483,Rickard Rakell,PIT,R,67,SWE,73,194,1993-05-05
8476525,Colin Miller,WPG,D,6,CAN,73,200,1992-10-29
8476539,Jonathan Marchessault,NSH,C,81,CAN,69,185,1990-12-27
8476624,Barclay Goodrow,SJS,C,23,CAN,74,210,1993-02-26
8476779,Brad Hunt,,D,17,CAN,69,177,1988-08-24
8476792,Torey Krug,STL,D,47,USA,69,194,1991-04-12
8476822,Luke Glendening,PHI,C,41,USA,71,190,1989-04-28
8476826,Yanni Gourde,TBL,C,37,CAN,69,173,1991-12-15
8476850,Ryan Murray,,D,28,CAN,73,206,1993-09-27
8476851,Alex Galchenyuk,,C,17,USA,73,194,1994-02-12
8476853,Morgan Rielly,TOR,D,44,CAN,73,219,1994-03-09
8476854,Hampus Lindholm,BOS,D,27,SWE,76,217,1994-01-20
8476856,Mathew Dumba,,D,24,CAN,72,191,1994-07-25
8476858,Phillip Di Giuseppe,WPG,L,89,CAN,72,193,1993-10-09
8476867,Brendan Gaunce,CBJ,C,16,CAN,74,222,1994-03-25
8476869,Brady Skjei,NSH,D,76,USA,75,210,1994-03-26
